Stats,Round1,Round2,Round3,Round4,Total,player_id
Eagles,0,0,0,0,0,1281599
Birdies,3,6,5,4,18,1281599
Pars,12,10,11,10,43,1281599
Bogeys,3,2,1,4,10,1281599
Double Bogeys,0,0,0,0,0,1281599
Fairways Hit,10,9,7,10,36,1281599
Greens in Regulation,11,12,12,14,49,1281599
Scrambling,71.43,66.67,66.67,50.00,65.22,1281599
Total Putts,"1.34 m4'5"" yd","1.57 m5'2"" yd","1.45 m4'9"" yd","1.31 m4'4"" yd","1.42 m4'8"" yd",1281599
Sand Saves,1,2,1,1,5,1281599
Driving Distance,"231.2 m252.8 yd","224.9 m246.0 yd","224.0 m244.9 yd","218.8 m239.3 yd","224.7 m245.8 yd",1281599
Approach Shot Distance to Pin,"9.39 m30'10"" yd","13 m42'7"" yd","12 m38'10"" yd","9.06 m29'9"" yd","11 m35'6"" yd",1281599
Strokes Gained - Off the Tee,0.720,0.005,-0.938,0.479,0.266,1281599
Strokes Gained - Approach the Green,-0.286,-0.854,0.484,0.345,-0.311,1281599
Strokes Gained - Around the Green,-0.342,2.458,0.767,0.247,3.130,1281599
Strokes Gained - Putting,0.441,1.058,0.221,-2.365,-0.645,1281599
Strokes Gained - Total,0.533,2.667,0.534,-1.294,2.440,1281599
Eagles,0,0,0,0,0,1296243
Birdies,5,0,4,6,15,1296243
Pars,8,12,12,10,42,1296243
Bogeys,3,6,1,2,12,1296243
Double Bogeys,2,0,1,0,3,1296243
Fairways Hit,9,6,11,8,34,1296243
Greens in Regulation,13,9,15,10,47,1296243
Scrambling,20.00,44.44,33.33,75.00,48.00,1296243
Total Putts,"1.26 m4'2"" yd","0.65 m2'2"" yd","0.83 m2'9"" yd","1.75 m5'9"" yd","1.12 m3'8"" yd",1296243
Sand Saves,1,0,0,1,2,1296243
Driving Distance,"229.4 m250.9 yd","227.9 m249.2 yd","227.9 m249.2 yd","226.6 m247.9 yd","227.9 m249.3 yd",1296243
Approach Shot Distance to Pin,"8.80 m28'10"" yd","13 m42'3"" yd","8.91 m29'3"" yd","9.10 m29'10"" yd","9.92 m32'7"" yd",1296243
Strokes Gained - Off the Tee,0.743,-1.411,1.058,0.634,1.024,1296243
Strokes Gained - Approach the Green,1.033,-2.710,0.376,0.753,-0.548,1296243
Strokes Gained - Around the Green,-1.372,-0.110,0.469,-1.403,-2.416,1296243
Strokes Gained - Putting,-1.890,-3.085,-1.376,2.714,-3.637,1296243
Strokes Gained - Total,-1.486,-7.316,0.527,2.698,-5.577,1296243
Eagles,0,1,1,0,2,1303990
Birdies,2,4,1,5,12,1303990
Pars,14,7,15,8,44,1303990
Bogeys,2,5,1,5,13,1303990
Double Bogeys,0,1,0,0,1,1303990
Fairways Hit,7,5,6,6,24,1303990
Greens in Regulation,11,11,12,8,42,1303990
Scrambling,85.71,14.29,100.00,50.00,60.00,1303990
Total Putts,"1.05 m3'5"" yd","1.28 m4'3"" yd","0.96 m3'2"" yd","1.97 m6'6"" yd","1.32 m4'4"" yd",1303990
Sand Saves,2,2,0,1,5,1303990
Driving Distance,"243.4 m266.2 yd","233.5 m255.4 yd","238.4 m260.7 yd","230.5 m252.1 yd","236.6 m258.7 yd",1303990
Approach Shot Distance to Pin,"9.39 m30'10"" yd","11 m37'6"" yd","9.21 m30'2"" yd","13 m43'4"" yd","11 m35'6"" yd",1303990
Strokes Gained - Off the Tee,0.267,-0.905,-0.124,-0.727,-1.489,1303990
Strokes Gained - Approach the Green,0.799,-0.378,1.166,-2.447,-0.860,1303990
Strokes Gained - Around the Green,-0.332,-0.972,2.000,-1.094,-0.398,1303990
Strokes Gained - Putting,-0.201,-0.081,-1.522,3.022,1.218,1303990
Strokes Gained - Total,0.533,-2.336,1.520,-1.246,-1.529,1303990
Eagles,0,0,0,0,0,1303992
Birdies,2,2,5,6,15,1303992
Pars,13,15,11,9,48,1303992
Bogeys,2,1,2,3,8,1303992
Double Bogeys,1,0,0,0,1,1303992
Fairways Hit,7,8,6,6,27,1303992
Greens in Regulation,12,15,14,12,53,1303992
Scrambling,50.00,66.67,50.00,50.00,52.63,1303992
Total Putts,"1.02 m3'4"" yd","1.22 m4'0"" yd","1.54 m5'1"" yd","1.44 m4'8"" yd","1.30 m4'3"" yd",1303992
Sand Saves,0,0,0,0,0,1303992
Driving Distance,"243.6 m266.4 yd","247.5 m270.6 yd","250.6 m274.1 yd","235.9 m257.9 yd","244.4 m267.3 yd",1303992
Approach Shot Distance to Pin,"8.11 m26'7"" yd","11 m36'10"" yd","9.72 m31'11"" yd","10 m34'1"" yd","9.86 m32'4"" yd",1303992
Strokes Gained - Off the Tee,0.298,1.146,0.602,-0.294,1.752,1303992
Strokes Gained - Approach the Green,1.376,-0.717,1.440,1.542,3.641,1303992
Strokes Gained - Around the Green,-2.081,0.246,-0.587,-1.832,-4.254,1303992
Strokes Gained - Putting,-1.082,-0.993,1.082,2.258,1.265,1303992
Strokes Gained - Total,-1.489,-0.318,2.537,1.674,2.404,1303992
Eagles,0,0,0,0,0,1311552
Birdies,0,4,1,4,9,1311552
Pars,13,10,15,11,49,1311552
Bogeys,5,3,2,3,13,1311552
Double Bogeys,0,1,0,0,1,1311552
Fairways Hit,9,7,7,8,31,1311552
Greens in Regulation,10,9,10,11,40,1311552
Scrambling,50.00,55.56,75.00,57.14,59.38,1311552
Total Putts,"1.10 m3'7"" yd","1.68 m5'6"" yd","1.59 m5'3"" yd","1.07 m3'6"" yd","1.36 m4'6"" yd",1311552
Sand Saves,0,2,2,2,6,1311552
Driving Distance,"224.5 m245.5 yd","227.6 m248.9 yd","226.3 m247.5 yd","211.4 m231.1 yd","222.4 m243.3 yd",1311552
Approach Shot Distance to Pin,"11 m37'8"" yd","14 m45'4"" yd","15 m50'10"" yd","11 m35'2"" yd","13 m42'3"" yd",1311552
Strokes Gained - Off the Tee,0.354,-1.585,-0.725,-1.313,-3.269,1311552
Strokes Gained - Approach the Green,-2.628,-1.722,-1.931,0.631,-5.650,1311552
Strokes Gained - Around the Green,-1.449,-0.711,-0.022,1.128,-1.054,1311552
Strokes Gained - Putting,-0.751,1.696,1.202,-0.760,1.387,1311552
Strokes Gained - Total,-4.474,-2.322,-1.476,-0.314,-8.586,1311552
Eagles,0,0,0,0,0,1312000
Birdies,5,5,5,5,20,1312000
Pars,12,13,11,11,47,1312000
Bogeys,1,0,2,2,5,1312000
Double Bogeys,0,0,0,0,0,1312000
Fairways Hit,10,10,13,5,38,1312000
Greens in Regulation,13,12,17,10,52,1312000
Scrambling,80.00,100.00,0.00,75.00,80.00,1312000
Total Putts,"1.88 m6'2"" yd","1.74 m5'9"" yd","1.88 m6'2"" yd","1.79 m5'10"" yd","1.82 m6'0"" yd",1312000
Sand Saves,1,1,0,2,4,1312000
Driving Distance,"209.1 m228.7 yd","211.9 m231.8 yd","207.4 m226.9 yd","204.8 m224.0 yd","208.3 m227.8 yd",1312000
Approach Shot Distance to Pin,"9.00 m29'6"" yd","8.77 m28'9"" yd","8.78 m28'10"" yd","13 m41'9"" yd","9.83 m32'3"" yd",1312000
Strokes Gained - Off the Tee,-0.350,-0.433,-0.112,-1.266,-2.161,1312000
Strokes Gained - Approach the Green,0.964,0.130,0.198,-0.877,0.415,1312000
Strokes Gained - Around the Green,0.547,0.578,0.183,-0.177,1.131,1312000
Strokes Gained - Putting,3.362,3.394,2.252,4.011,13.019,1312000
Strokes Gained - Total,4.523,3.669,2.521,1.691,12.404,1312000
Eagles,0,0,0,0,0,1312869
Birdies,5,4,6,3,18,1312869
Pars,10,13,10,14,47,1312869
Bogeys,2,1,2,1,6,1312869
Double Bogeys,1,0,0,0,1,1312869
Fairways Hit,8,9,10,7,34,1312869
Greens in Regulation,11,15,14,12,52,1312869
Scrambling,71.43,66.67,50.00,83.33,70.00,1312869
Total Putts,"1.65 m5'5"" yd","1.69 m5'7"" yd","1.62 m5'4"" yd","0.85 m2'9"" yd","1.45 m4'9"" yd",1312869
Sand Saves,1,1,3,0,5,1312869
Driving Distance,"226.6 m247.8 yd","227.2 m248.5 yd","230.3 m251.9 yd","228.2 m249.6 yd","228.1 m249.4 yd",1312869
Approach Shot Distance to Pin,"6.39 m21'0"" yd","11 m35'4"" yd","8.82 m28'11"" yd","7.33 m24'1"" yd","8.33 m27'4"" yd",1312869
Strokes Gained - Off the Tee,-0.532,0.153,0.891,0.499,1.011,1312869
Strokes Gained - Approach the Green,1.339,1.080,0.319,2.061,4.799,1312869
Strokes Gained - Around the Green,0.825,0.116,1.054,-0.316,1.679,1312869
Strokes Gained - Putting,-0.105,0.335,1.265,-1.556,-0.061,1312869
Strokes Gained - Total,1.527,1.684,3.529,0.688,7.428,1312869
Eagles,0,0,0,0,0,1325738
Birdies,3,4,5,1,13,1325738
Pars,12,11,11,12,46,1325738
Bogeys,3,3,2,5,13,1325738
Double Bogeys,0,0,0,0,0,1325738
Fairways Hit,9,7,8,5,29,1325738
Greens in Regulation,9,11,14,7,41,1325738
Scrambling,66.67,71.43,50.00,54.55,61.29,1325738
Total Putts,"1.47 m4'10"" yd","2.42 m7'11"" yd","1.42 m4'8"" yd","1.13 m3'8"" yd","1.60 m5'3"" yd",1325738
Sand Saves,0,1,0,0,1,1325738
Driving Distance,"225.1 m246.2 yd","223.5 m244.4 yd","219.5 m240.1 yd","210.2 m229.9 yd","219.6 m240.2 yd",1325738
Approach Shot Distance to Pin,"10 m34'1"" yd","14 m44'6"" yd","12 m39'7"" yd","15 m48'5"" yd","13 m41'8"" yd",1325738
Strokes Gained - Off the Tee,0.014,-0.501,-1.114,-1.662,-3.263,1325738
Strokes Gained - Approach the Green,-1.107,-1.947,2.447,-1.928,-2.535,1325738
Strokes Gained - Around the Green,1.180,-0.383,0.619,-0.350,1.066,1325738
Strokes Gained - Putting,0.436,2.499,0.585,-1.401,2.119,1325738
Strokes Gained - Total,0.523,-0.332,2.537,-5.341,-2.613,1325738
Eagles,0,0,0,0,0,1326354
Birdies,4,5,5,3,17,1326354
Pars,9,9,10,14,42,1326354
Bogeys,5,3,3,1,12,1326354
Double Bogeys,0,1,0,0,1,1326354
Fairways Hit,8,7,9,7,31,1326354
Greens in Regulation,12,13,14,15,54,1326354
Scrambling,16.67,40.00,50.00,100.00,44.44,1326354
Total Putts,"1.35 m4'5"" yd","1.34 m4'5"" yd","1.10 m3'7"" yd","1.14 m3'9"" yd","1.23 m4'1"" yd",1326354
Sand Saves,1,0,2,0,3,1326354
Driving Distance,"242.3 m264.9 yd","250.4 m273.9 yd","247.3 m270.4 yd","230.9 m252.5 yd","242.7 m265.4 yd",1326354
Approach Shot Distance to Pin,"11 m37'3"" yd","12 m38'10"" yd","13 m41'7"" yd","9.35 m30'8"" yd","11 m37'1"" yd",1326354
Strokes Gained - Off the Tee,1.124,0.288,2.021,0.304,3.737,1326354
Strokes Gained - Approach the Green,-0.416,-0.813,0.655,0.275,-0.299,1326354
Strokes Gained - Around the Green,0.015,1.073,0.154,0.263,1.505,1326354
Strokes Gained - Putting,-1.215,-1.880,-1.299,-0.152,-4.546,1326354
Strokes Gained - Total,-0.492,-1.332,1.531,0.690,0.397,1326354
Eagles,0,0,0,0,0,1326360
Birdies,4,3,2,7,16,1326360
Pars,13,14,11,10,48,1326360
Bogeys,0,1,5,1,7,1326360
Double Bogeys,1,0,0,0,1,1326360
Fairways Hit,10,8,8,8,34,1326360
Greens in Regulation,12,12,9,11,44,1326360
Scrambling,83.33,83.33,44.44,85.71,71.43,1326360
Total Putts,"2.06 m6'9"" yd","1.09 m3'7"" yd","1.12 m3'8"" yd","1.60 m5'3"" yd","1.46 m4'9"" yd",1326360
Sand Saves,1,0,1,3,5,1326360
Driving Distance,"227.6 m248.9 yd","225.4 m246.5 yd","229.1 m250.5 yd","214.0 m234.1 yd","224.0 m245.0 yd",1326360
Approach Shot Distance to Pin,"11 m36'11"" yd","10.00 m32'10"" yd","12 m40'1"" yd","11 m34'8"" yd","11 m36'1"" yd",1326360
Strokes Gained - Off the Tee,0.320,-0.413,1.089,-0.058,0.938,1326360
Strokes Gained - Approach the Green,0.525,0.302,-3.149,0.948,-1.374,1326360
Strokes Gained - Around the Green,-0.324,0.503,-1.228,1.147,0.098,1326360
Strokes Gained - Putting,2.000,0.281,-0.192,2.661,4.750,1326360
Strokes Gained - Total,2.521,0.673,-3.480,4.698,4.412,1326360
Eagles,0,0,0,0,0,1326363
Birdies,2,4,5,7,18,1326363
Pars,14,14,7,11,46,1326363
Bogeys,2,0,5,0,7,1326363
Double Bogeys,0,0,1,0,1,1326363
Fairways Hit,5,11,4,9,29,1326363
Greens in Regulation,8,17,12,14,51,1326363
Scrambling,80.00,100.00,0.00,100.00,61.90,1326363
Total Putts,"1.37 m4'6"" yd","1.11 m3'8"" yd","1.34 m4'5"" yd","1.47 m4'10"" yd","1.32 m4'4"" yd",1326363
Sand Saves,2,0,0,1,3,1326363
Driving Distance,"244.4 m267.3 yd","248.7 m272.0 yd","240.0 m262.4 yd","237.4 m259.6 yd","242.6 m265.3 yd",1326363
Approach Shot Distance to Pin,"9.87 m32'4"" yd","9.48 m31'1"" yd","15 m48'3"" yd","9.49 m31'1"" yd","11 m35'9"" yd",1326363
Strokes Gained - Off the Tee,-0.666,2.681,-0.371,1.816,3.460,1326363
Strokes Gained - Approach the Green,-1.287,1.353,-0.009,0.834,0.891,1326363
Strokes Gained - Around the Green,0.097,-0.387,-0.074,1.285,0.921,1326363
Strokes Gained - Putting,2.373,-0.990,-2.029,1.753,1.107,1326363
Strokes Gained - Total,0.517,2.657,-2.483,5.688,6.379,1326363
Eagles,0,1,0,0,1,1326376
Birdies,6,9,3,5,23,1326376
Pars,10,7,14,11,42,1326376
Bogeys,2,0,1,1,4,1326376
Double Bogeys,0,1,0,1,2,1326376
Fairways Hit,11,11,10,9,41,1326376
Greens in Regulation,16,16,13,14,59,1326376
Scrambling,50.00,50.00,100.00,50.00,69.23,1326376
Total Putts,"0.95 m3'2"" yd","2.73 m8'11"" yd","0.96 m3'2"" yd","1.64 m5'4"" yd","1.57 m5'2"" yd",1326376
Sand Saves,0,1,1,0,2,1326376
Driving Distance,"244.9 m267.9 yd","244.7 m267.6 yd","242.6 m265.3 yd","236.2 m258.4 yd","242.1 m264.8 yd",1326376
Approach Shot Distance to Pin,"8.50 m27'11"" yd","8.57 m28'1"" yd","12 m37'10"" yd","10 m32'11"" yd","9.66 m31'8"" yd",1326376
Strokes Gained - Off the Tee,1.894,1.637,1.883,1.374,6.788,1326376
Strokes Gained - Approach the Green,3.934,1.790,-0.255,0.437,5.906,1326376
Strokes Gained - Around the Green,0.030,-0.572,0.158,-1.251,-1.635,1326376
Strokes Gained - Putting,-1.331,4.815,-0.255,0.131,3.360,1326376
Strokes Gained - Total,4.527,7.670,1.531,0.691,14.419,1326376
Eagles,0,0,0,0,0,1333770
Birdies,4,2,0,1,7,1333770
Pars,10,14,9,14,47,1333770
Bogeys,4,1,8,3,16,1333770
Double Bogeys,0,1,1,0,2,1333770
Fairways Hit,6,8,5,8,27,1333770
Greens in Regulation,8,12,7,8,35,1333770
Scrambling,60.00,83.33,18.18,80.00,56.76,1333770
Total Putts,"1.41 m4'8"" yd","1.42 m4'8"" yd","0.53 m1'9"" yd","1.11 m3'8"" yd","1.12 m3'8"" yd",1333770
Sand Saves,0,2,0,2,4,1333770
Driving Distance,"222.9 m243.7 yd","228.6 m250.0 yd","215.3 m235.4 yd","221.2 m241.9 yd","222.0 m242.8 yd",1333770
Approach Shot Distance to Pin,"12 m40'0"" yd","9.91 m32'6"" yd","16 m53'10"" yd","14 m44'10"" yd","13 m42'10"" yd",1333770
Strokes Gained - Off the Tee,-0.637,0.288,-1.905,0.625,-1.629,1333770
Strokes Gained - Approach the Green,-1.063,-0.617,-3.643,-3.654,-8.977,1333770
Strokes Gained - Around the Green,0.870,-1.138,-1.823,0.637,-1.454,1333770
Strokes Gained - Putting,1.347,-0.863,-3.078,-0.919,-3.513,1333770
Strokes Gained - Total,0.517,-2.330,-10.449,-3.311,-15.573,1333770
Eagles,0,0,1,0,1,1334619
Birdies,1,3,2,1,7,1334619
Pars,12,9,9,10,40,1334619
Bogeys,5,6,5,6,22,1334619
Double Bogeys,0,0,0,1,1,1334619
Fairways Hit,7,6,6,9,28,1334619
Greens in Regulation,7,9,12,10,38,1334619
Scrambling,54.55,44.44,16.67,12.50,35.29,1334619
Total Putts,"1.19 m3'11"" yd","1.93 m6'4"" yd","1.26 m4'2"" yd","1.02 m3'4"" yd","1.35 m4'5"" yd",1334619
Sand Saves,0,1,1,0,2,1334619
Driving Distance,"209.7 m229.3 yd","206.3 m225.6 yd","201.6 m220.4 yd","207.0 m226.4 yd","206.2 m225.4 yd",1334619
Approach Shot Distance to Pin,"13 m43'10"" yd","11 m37'8"" yd","16 m51'0"" yd","12 m40'4"" yd","13 m43'3"" yd",1334619
Strokes Gained - Off the Tee,-1.066,-2.350,-2.368,-2.996,-8.780,1334619
Strokes Gained - Approach the Green,-2.421,-2.165,-1.503,-1.044,-7.133,1334619
Strokes Gained - Around the Green,-0.809,-1.083,-0.224,-0.208,-2.324,1334619
Strokes Gained - Putting,0.831,1.270,-0.382,-4.086,-2.367,1334619
Strokes Gained - Total,-3.465,-4.328,-4.477,-8.334,-20.604,1334619
Eagles,0,0,0,0,0,1334620
Birdies,1,4,2,4,11,1334620
Pars,12,11,15,11,49,1334620
Bogeys,5,2,1,3,11,1334620
Double Bogeys,0,1,0,0,1,1334620
Fairways Hit,6,6,8,7,27,1334620
Greens in Regulation,10,13,14,11,48,1334620
Scrambling,50.00,40.00,75.00,57.14,54.17,1334620
Total Putts,"1.02 m3'4"" yd","1.08 m3'6"" yd","1.11 m3'8"" yd","0.81 m2'8"" yd","1.00 m3'3"" yd",1334620
Sand Saves,0,2,1,0,3,1334620
Driving Distance,"236.3 m258.4 yd","232.1 m253.9 yd","236.8 m258.9 yd","227.6 m248.9 yd","233.2 m255.0 yd",1334620
Approach Shot Distance to Pin,"12 m40'5"" yd","14 m46'7"" yd","10 m33'5"" yd","8.87 m29'1"" yd","11 m37'5"" yd",1334620
Strokes Gained - Off the Tee,0.181,-0.760,0.531,-0.300,-0.348,1334620
Strokes Gained - Approach the Green,-1.487,-1.673,0.240,0.555,-2.365,1334620
Strokes Gained - Around the Green,0.153,0.548,0.300,0.660,1.661,1334620
Strokes Gained - Putting,-2.326,0.572,-0.556,-1.215,-3.525,1334620
Strokes Gained - Total,-3.479,-1.313,0.515,-0.300,-4.577,1334620
Eagles,0,0,0,0,0,1342631
Birdies,6,5,4,5,20,1342631
Pars,8,10,10,13,41,1342631
Bogeys,4,3,4,0,11,1342631
Double Bogeys,0,0,0,0,0,1342631
Fairways Hit,8,6,9,8,31,1342631
Greens in Regulation,12,11,13,12,48,1342631
Scrambling,50.00,57.14,40.00,100.00,62.50,1342631
Total Putts,"1.80 m5'11"" yd","1.60 m5'3"" yd","1.11 m3'8"" yd","2.25 m7'5"" yd","1.70 m5'7"" yd",1342631
Sand Saves,0,1,0,1,2,1342631
Driving Distance,"226.6 m247.8 yd","223.7 m244.6 yd","230.0 m251.5 yd","223.6 m244.6 yd","226.0 m247.1 yd",1342631
Approach Shot Distance to Pin,"8.40 m27'7"" yd","13 m41'8"" yd","11 m37'5"" yd","8.43 m27'8"" yd","10 m33'8"" yd",1342631
Strokes Gained - Off the Tee,-0.100,-0.678,0.955,-0.541,-0.364,1342631
Strokes Gained - Approach the Green,-0.499,-0.928,-1.138,2.579,0.014,1342631
Strokes Gained - Around the Green,0.061,1.481,1.346,-0.460,2.428,1342631
Strokes Gained - Putting,3.061,0.791,-1.646,2.114,4.320,1342631
Strokes Gained - Total,2.523,0.666,-0.483,3.692,6.398,1342631
Eagles,0,1,0,0,1,1343222
Birdies,3,4,3,4,14,1343222
Pars,13,10,14,11,48,1343222
Bogeys,2,3,1,3,9,1343222
Double Bogeys,0,0,0,0,0,1343222
Fairways Hit,9,7,9,6,31,1343222
Greens in Regulation,15,10,17,11,53,1343222
Scrambling,66.67,62.50,0.00,57.14,57.89,1343222
Total Putts,"1.37 m4'6"" yd","1.66 m5'5"" yd","2.27 m7'5"" yd","1.45 m4'9"" yd","1.69 m5'6"" yd",1343222
Sand Saves,0,0,0,1,1,1343222
Driving Distance,"233.8 m255.6 yd","236.0 m258.1 yd","236.6 m258.7 yd","226.1 m247.3 yd","233.1 m254.9 yd",1343222
Approach Shot Distance to Pin,"8.72 m28'7"" yd","12 m38'6"" yd","11 m35'6"" yd","11 m35'6"" yd","11 m34'6"" yd",1343222
Strokes Gained - Off the Tee,0.883,0.413,1.084,-1.952,0.428,1343222
Strokes Gained - Approach the Green,1.146,0.596,-0.581,-0.262,0.899,1343222
Strokes Gained - Around the Green,-0.022,-1.058,0.214,1.776,0.910,1343222
Strokes Gained - Putting,-0.486,1.718,0.807,0.121,2.160,1343222
Strokes Gained - Total,1.521,1.669,1.524,-0.317,4.397,1343222
Eagles,0,1,1,0,2,1344911
Birdies,3,2,3,2,10,1344911
Pars,11,10,11,16,48,1344911
Bogeys,4,3,2,0,9,1344911
Double Bogeys,0,2,1,0,3,1344911
Fairways Hit,7,7,4,8,26,1344911
Greens in Regulation,11,10,11,13,45,1344911
Scrambling,57.14,37.50,57.14,100.00,59.26,1344911
Total Putts,"1.51 m5'0"" yd","0.93 m3'1"" yd","1.61 m5'4"" yd","1.50 m4'11"" yd","1.39 m4'7"" yd",1344911
Sand Saves,1,0,0,2,3,1344911
Driving Distance,"224.2 m245.1 yd","227.3 m248.6 yd","225.3 m246.4 yd","212.5 m232.4 yd","222.3 m243.1 yd",1344911
Approach Shot Distance to Pin,"12 m39'2"" yd","11 m34'8"" yd","10 m33'0"" yd","12 m39'2"" yd","11 m36'6"" yd",1344911
Strokes Gained - Off the Tee,-0.085,-0.176,-0.387,-0.233,-0.881,1344911
Strokes Gained - Approach the Green,-1.113,0.024,0.320,-0.705,-1.474,1344911
Strokes Gained - Around the Green,-0.126,-2.148,-1.233,0.955,-2.552,1344911
Strokes Gained - Putting,0.833,-2.035,1.834,0.667,1.299,1344911
Strokes Gained - Total,-0.491,-4.335,0.534,0.684,-3.608,1344911
Eagles,0,0,1,0,1,1345208
Birdies,2,7,3,5,17,1345208
Pars,11,11,13,12,47,1345208
Bogeys,5,0,0,1,6,1345208
Double Bogeys,0,0,1,0,1,1345208
Fairways Hit,9,10,10,11,40,1345208
Greens in Regulation,11,14,17,14,56,1345208
Scrambling,42.86,100.00,0.00,75.00,62.50,1345208
Total Putts,"1.29 m4'3"" yd","1.05 m3'5"" yd","0.75 m2'6"" yd","1.29 m4'3"" yd","1.10 m3'7"" yd",1345208
Sand Saves,0,0,0,0,0,1345208
Driving Distance,"224.9 m245.9 yd","232.3 m254.0 yd","226.8 m248.0 yd","219.7 m240.2 yd","225.9 m247.0 yd",1345208
Approach Shot Distance to Pin,"9.70 m31'10"" yd","8.74 m28'8"" yd","8.86 m29'1"" yd","8.40 m27'7"" yd","8.93 m29'4"" yd",1345208
Strokes Gained - Off the Tee,0.327,0.626,1.292,0.745,2.990,1345208
Strokes Gained - Approach the Green,-0.923,2.937,1.538,1.619,5.171,1345208
Strokes Gained - Around the Green,-0.917,1.902,0.475,-1.720,-0.260,1345208
Strokes Gained - Putting,-0.968,0.209,-0.793,2.052,0.500,1345208
Strokes Gained - Total,-2.481,5.674,2.512,2.696,8.401,1345208
Eagles,0,1,1,0,2,1345280
Birdies,4,6,1,5,16,1345280
Pars,11,8,15,11,45,1345280
Bogeys,2,3,1,2,8,1345280
Double Bogeys,1,0,0,0,1,1345280
Fairways Hit,12,12,10,8,42,1345280
Greens in Regulation,15,14,14,14,57,1345280
Scrambling,66.67,25.00,75.00,50.00,53.33,1345280
Total Putts,"1.20 m3'11"" yd","1.43 m4'8"" yd","1.39 m4'7"" yd","1.28 m4'2"" yd","1.33 m4'4"" yd",1345280
Sand Saves,0,0,1,3,4,1345280
Driving Distance,"234.7 m256.6 yd","235.8 m257.9 yd","230.2 m251.8 yd","226.6 m247.9 yd","231.8 m253.5 yd",1345280
Approach Shot Distance to Pin,"5.42 m17'9"" yd","6.36 m20'10"" yd","8.58 m28'2"" yd","9.14 m30'0"" yd","7.37 m24'2"" yd",1345280
Strokes Gained - Off the Tee,0.700,1.581,1.409,0.780,4.470,1345280
Strokes Gained - Approach the Green,1.648,3.008,0.353,0.703,5.712,1345280
Strokes Gained - Around the Green,1.173,-1.287,-0.356,0.382,-0.088,1345280
Strokes Gained - Putting,-3.002,0.360,0.113,-0.179,-2.708,1345280
