Stats,Round1,Round2,Round3,Round4,Total,player_id
Strokes Gained - Total,0.519,3.662,1.519,1.686,7.386,1345280
Eagles,0,0,0,0,0,1346222
Birdies,6,6,2,4,18,1346222
Pars,9,10,14,13,46,1346222
Bogeys,3,2,2,1,8,1346222
Double Bogeys,0,0,0,0,0,1346222
Fairways Hit,10,8,9,10,37,1346222
Greens in Regulation,14,16,16,13,59,1346222
Scrambling,50.00,50.00,50.00,80.00,61.54,1346222
Total Putts,"1.53 m5'0"" yd","0.88 m2'10"" yd","1.35 m4'5"" yd","0.66 m2'2"" yd","1.10 m3'7"" yd",1346222
Sand Saves,0,1,0,1,2,1346222
Driving Distance,"232.9 m254.7 yd","227.2 m248.5 yd","224.9 m245.9 yd","223.8 m244.8 yd","227.2 m248.5 yd",1346222
Approach Shot Distance to Pin,"9.82 m32'3"" yd","7.79 m25'7"" yd","10 m33'10"" yd","8.85 m29'0"" yd","9.19 m30'2"" yd",1346222
Strokes Gained - Off the Tee,0.935,0.497,-0.232,0.448,1.648,1346222
Strokes Gained - Approach the Green,0.684,4.610,0.164,1.503,6.961,1346222
Strokes Gained - Around the Green,-0.339,-0.854,0.330,0.744,-0.119,1346222
Strokes Gained - Putting,2.253,-1.569,-0.726,-1.009,-1.051,1346222
Strokes Gained - Total,3.533,2.684,-0.464,1.686,7.439,1346222
Eagles,0,0,0,0,0,1346224
Birdies,3,2,4,6,15,1346224
Pars,14,16,13,10,53,1346224
Bogeys,1,0,1,1,3,1346224
Double Bogeys,0,0,0,1,1,1346224
Fairways Hit,9,6,7,4,26,1346224
Greens in Regulation,16,13,14,14,57,1346224
Scrambling,100.00,100.00,75.00,50.00,80.00,1346224
Total Putts,"1.00 m3'3"" yd","0.75 m2'6"" yd","1.40 m4'7"" yd","1.52 m5'0"" yd","1.17 m3'10"" yd",1346224
Sand Saves,0,2,2,1,5,1346224
Driving Distance,"236.6 m258.8 yd","237.5 m259.7 yd","237.0 m259.1 yd","232.2 m253.9 yd","235.8 m257.9 yd",1346224
Approach Shot Distance to Pin,"9.39 m30'10"" yd","13 m43'5"" yd","12 m39'0"" yd","12 m38'0"" yd","12 m37'10"" yd",1346224
Strokes Gained - Off the Tee,0.840,0.450,0.405,0.310,2.005,1346224
Strokes Gained - Approach the Green,2.407,0.542,-0.493,1.238,3.694,1346224
Strokes Gained - Around the Green,0.892,2.009,1.111,-0.691,3.321,1346224
Strokes Gained - Putting,-1.620,-2.343,1.514,0.837,-1.612,1346224
Strokes Gained - Total,2.519,0.658,2.537,1.694,7.408,1346224
Eagles,0,0,0,0,0,1346225
Birdies,3,3,2,3,11,1346225
Pars,14,13,14,14,55,1346225
Bogeys,1,2,2,1,6,1346225
Double Bogeys,0,0,0,0,0,1346225
Fairways Hit,11,10,9,9,39,1346225
Greens in Regulation,14,12,14,7,47,1346225
Scrambling,75.00,83.33,50.00,90.91,80.00,1346225
Total Putts,"0.61 m2'0"" yd","1.36 m4'5"" yd","1.01 m3'4"" yd","1.45 m4'9"" yd","1.11 m3'8"" yd",1346225
Sand Saves,1,1,0,3,5,1346225
Driving Distance,"215.6 m235.8 yd","215.7 m235.9 yd","208.4 m227.9 yd","205.3 m224.5 yd","211.2 m231.0 yd",1346225
Approach Shot Distance to Pin,"9.02 m29'7"" yd","13 m42'7"" yd","9.66 m31'8"" yd","13 m44'1"" yd","11 m37'1"" yd",1346225
Strokes Gained - Off the Tee,0.310,0.606,-0.729,-0.630,-0.443,1346225
Strokes Gained - Approach the Green,2.126,-0.926,1.795,-2.144,0.851,1346225
Strokes Gained - Around the Green,0.697,-0.782,0.777,0.126,0.818,1346225
Strokes Gained - Putting,-0.622,0.787,-2.333,3.344,1.176,1346225
Strokes Gained - Total,2.511,-0.315,-0.490,0.696,2.402,1346225
Eagles,0,0,0,0,0,1346226
Birdies,2,4,5,6,17,1346226
Pars,15,13,10,10,48,1346226
Bogeys,1,1,2,2,6,1346226
Double Bogeys,0,0,1,0,1,1346226
Fairways Hit,11,10,7,6,34,1346226
Greens in Regulation,11,17,10,12,50,1346226
Scrambling,85.71,0.00,62.50,66.67,68.18,1346226
Total Putts,"1.41 m4'7"" yd","1.02 m3'4"" yd","1.74 m5'9"" yd","1.66 m5'6"" yd","1.46 m4'9"" yd",1346226
Sand Saves,1,0,2,1,4,1346226
Driving Distance,"234.0 m255.9 yd","233.6 m255.5 yd","227.9 m249.2 yd","217.5 m237.9 yd","228.2 m249.6 yd",1346226
Approach Shot Distance to Pin,"11 m35'7"" yd","9.24 m30'4"" yd","10 m34'4"" yd","12 m39'9"" yd","11 m35'0"" yd",1346226
Strokes Gained - Off the Tee,1.240,1.374,-0.301,-0.632,1.681,1346226
Strokes Gained - Approach the Green,-1.276,1.261,-2.073,-0.451,-2.539,1346226
Strokes Gained - Around the Green,0.366,-0.026,0.277,1.277,1.894,1346226
Strokes Gained - Putting,1.205,-0.925,2.652,2.504,5.436,1346226
Strokes Gained - Total,1.535,1.684,0.555,2.698,6.472,1346226
Eagles,0,0,0,0,0,1346285
Birdies,3,2,3,2,10,1346285
Pars,3,12,7,12,34,1346285
Bogeys,11,4,5,3,23,1346285
Double Bogeys,1,0,2,1,4,1346285
Fairways Hit,8,5,9,4,26,1346285
Greens in Regulation,3,7,8,11,29,1346285
Scrambling,26.67,63.64,20.00,42.86,37.21,1346285
Total Putts,"1.57 m5'2"" yd","1.53 m5'0"" yd","0.70 m2'4"" yd","1.50 m4'11"" yd","1.32 m4'4"" yd",1346285
Sand Saves,3,2,0,0,5,1346285
Driving Distance,"211.9 m231.7 yd","215.3 m235.5 yd","224.7 m245.7 yd","211.5 m231.3 yd","215.9 m236.1 yd",1346285
Approach Shot Distance to Pin,"13 m42'7"" yd","12 m40'9"" yd","14 m45'10"" yd","11 m35'4"" yd","13 m41'1"" yd",1346285
Strokes Gained - Off the Tee,-3.030,-2.332,-0.156,-1.622,-7.140,1346285
Strokes Gained - Approach the Green,-5.533,-1.278,-3.401,-1.428,-11.640,1346285
Strokes Gained - Around the Green,-0.644,-1.572,-3.674,-2.405,-8.295,1346285
Strokes Gained - Putting,-0.270,1.862,-3.228,1.117,-0.519,1346285
Strokes Gained - Total,-9.477,-3.320,-10.459,-4.338,-27.594,1346285
Eagles,0,0,0,0,0,1351271
Birdies,3,5,4,3,15,1351271
Pars,10,11,9,14,44,1351271
Bogeys,5,2,5,1,13,1351271
Double Bogeys,0,0,0,0,0,1351271
Fairways Hit,7,10,9,9,35,1351271
Greens in Regulation,10,11,10,16,47,1351271
Scrambling,37.50,85.71,50.00,50.00,56.00,1351271
Total Putts,"1.03 m3'5"" yd","1.21 m4'0"" yd","1.01 m3'4"" yd","1.00 m3'3"" yd","1.06 m3'6"" yd",1351271
Sand Saves,0,1,1,1,3,1351271
Driving Distance,"229.5 m251.0 yd","233.5 m255.4 yd","226.3 m247.4 yd","229.8 m251.3 yd","229.8 m251.3 yd",1351271
Approach Shot Distance to Pin,"10 m34'3"" yd","10 m33'0"" yd","13 m44'2"" yd","7.29 m23'11"" yd","10 m33'10"" yd",1351271
Strokes Gained - Off the Tee,0.032,0.931,0.667,1.061,2.691,1351271
Strokes Gained - Approach the Green,-0.101,-0.706,-1.559,2.011,-0.355,1351271
Strokes Gained - Around the Green,0.084,0.964,0.300,0.621,1.969,1351271
Strokes Gained - Putting,-1.504,0.496,-0.884,-3.014,-4.906,1351271
Strokes Gained - Total,-1.489,1.685,-1.476,0.679,-0.601,1351271
Eagles,0,0,0,0,0,1351272
Birdies,2,3,3,5,13,1351272
Pars,15,13,14,8,50,1351272
Bogeys,1,2,1,5,9,1351272
Double Bogeys,0,0,0,0,0,1351272
Fairways Hit,7,8,10,3,28,1351272
Greens in Regulation,10,11,15,11,47,1351272
Scrambling,87.50,85.71,66.67,28.57,68.00,1351272
Total Putts,"1.17 m3'10"" yd","1.39 m4'7"" yd","0.78 m2'7"" yd","1.27 m4'2"" yd","1.15 m3'9"" yd",1351272
Sand Saves,0,0,0,0,0,1351272
Driving Distance,"230.9 m252.5 yd","228.5 m249.9 yd","231.4 m253.1 yd","212.0 m231.9 yd","225.7 m246.8 yd",1351272
Approach Shot Distance to Pin,"9.35 m30'8"" yd","14 m45'5"" yd","7.78 m25'6"" yd","13 m42'4"" yd","11 m35'10"" yd",1351272
Strokes Gained - Off the Tee,0.099,-0.682,0.101,-1.573,-2.055,1351272
Strokes Gained - Approach the Green,-0.711,-0.749,1.770,-1.394,-1.084,1351272
Strokes Gained - Around the Green,0.922,1.596,1.112,1.830,5.460,1351272
Strokes Gained - Putting,1.211,-0.500,-1.464,-0.182,-0.935,1351272
Strokes Gained - Total,1.521,-0.335,1.519,-1.319,1.386,1351272
Eagles,0,1,1,0,2,1352702
Birdies,6,4,3,4,17,1352702
Pars,9,7,10,12,38,1352702
Bogeys,3,4,4,2,13,1352702
Double Bogeys,0,2,0,0,2,1352702
Fairways Hit,5,8,5,5,23,1352702
Greens in Regulation,10,9,12,15,46,1352702
Scrambling,62.50,33.33,33.33,100.00,50.00,1352702
Total Putts,"2.24 m7'4"" yd","1.86 m6'1"" yd","1.32 m4'4"" yd","1.62 m5'4"" yd","1.76 m5'9"" yd",1352702
Sand Saves,0,1,1,2,4,1352702
Driving Distance,"239.2 m261.6 yd","241.3 m263.9 yd","245.0 m267.9 yd","236.0 m258.1 yd","240.4 m262.9 yd",1352702
Approach Shot Distance to Pin,"8.81 m28'11"" yd","14 m46'6"" yd","14 m44'4"" yd","8.67 m28'5"" yd","11 m37'0"" yd",1352702
Strokes Gained - Off the Tee,0.175,-0.595,0.254,0.360,0.194,1352702
Strokes Gained - Approach the Green,0.075,-1.378,-0.032,1.090,-0.245,1352702
Strokes Gained - Around the Green,-0.154,-2.162,0.602,0.620,-1.094,1352702
Strokes Gained - Putting,3.419,0.801,-0.300,-1.391,2.529,1352702
Strokes Gained - Total,3.515,-3.334,0.524,0.679,1.384,1352702
Eagles,0,0,0,0,0,1352705
Birdies,4,0,1,2,7,1352705
Pars,12,13,14,14,53,1352705
Bogeys,2,5,3,1,11,1352705
Double Bogeys,0,0,0,1,1,1352705
Fairways Hit,7,8,3,7,25,1352705
Greens in Regulation,12,10,8,14,44,1352705
Scrambling,83.33,37.50,70.00,75.00,64.29,1352705
Total Putts,"1.29 m4'3"" yd","0.83 m2'9"" yd","1.13 m3'8"" yd","0.94 m3'1"" yd","1.05 m3'5"" yd",1352705
Sand Saves,0,0,3,0,3,1352705
Driving Distance,"223.6 m244.6 yd","212.9 m232.9 yd","215.3 m235.5 yd","212.3 m232.2 yd","216.1 m236.3 yd",1352705
Approach Shot Distance to Pin,"7.22 m23'8"" yd","12 m39'0"" yd","15 m47'9"" yd","9.46 m31'0"" yd","11 m35'4"" yd",1352705
Strokes Gained - Off the Tee,-0.336,-1.166,-2.320,-1.102,-4.924,1352705
Strokes Gained - Approach the Green,2.317,-1.203,-1.345,1.645,1.414,1352705
Strokes Gained - Around the Green,-0.174,0.239,0.189,-0.679,-0.425,1352705
Strokes Gained - Putting,0.722,-4.198,1.001,-2.183,-4.658,1352705
Strokes Gained - Total,2.529,-6.328,-2.475,-2.319,-8.593,1352705
Eagles,0,0,0,0,0,1361296
Birdies,3,4,1,1,9,1361296
Pars,9,11,12,12,44,1361296
Bogeys,4,3,4,4,15,1361296
Double Bogeys,2,0,0,1,3,1361296
Fairways Hit,7,5,6,5,23,1361296
Greens in Regulation,8,10,10,7,35,1361296
Scrambling,40.00,75.00,37.50,54.55,51.35,1361296
Total Putts,"1.04 m3'5"" yd","2.22 m7'3"" yd","1.34 m4'5"" yd","1.26 m4'2"" yd","1.46 m4'10"" yd",1361296
Sand Saves,1,0,0,0,1,1361296
Driving Distance,"227.8 m249.1 yd","225.5 m246.6 yd","222.6 m243.4 yd","219.6 m240.1 yd","223.9 m244.8 yd",1361296
Approach Shot Distance to Pin,"12 m37'11"" yd","12 m38'11"" yd","13 m44'3"" yd","14 m47'4"" yd","13 m42'1"" yd",1361296
Strokes Gained - Off the Tee,-1.825,-0.910,-0.722,-1.366,-4.823,1361296
Strokes Gained - Approach the Green,-0.491,-0.660,-1.558,-2.918,-5.627,1361296
Strokes Gained - Around the Green,-1.215,1.381,-3.653,-1.201,-4.688,1361296
Strokes Gained - Putting,-0.940,-0.130,-1.549,-0.831,-3.450,1361296
Strokes Gained - Total,-4.471,-0.319,-7.482,-6.316,-18.588,1361296
Eagles,0,0,0,0,0,1364609
Birdies,2,6,5,5,18,1364609
Pars,13,11,11,13,48,1364609
Bogeys,3,1,2,0,6,1364609
Double Bogeys,0,0,0,0,0,1364609
Fairways Hit,7,8,10,8,33,1364609
Greens in Regulation,10,15,15,15,55,1364609
Scrambling,62.50,66.67,33.33,100.00,64.71,1364609
Total Putts,"1.41 m4'7"" yd","1.78 m5'10"" yd","0.68 m2'3"" yd","1.97 m6'6"" yd","1.45 m4'9"" yd",1364609
Sand Saves,2,0,1,2,5,1364609
Driving Distance,"225.3 m246.4 yd","221.7 m242.5 yd","231.2 m252.8 yd","219.7 m240.2 yd","224.5 m245.5 yd",1364609
Approach Shot Distance to Pin,"9.25 m30'4"" yd","9.71 m31'10"" yd","7.18 m23'6"" yd","8.84 m29'0"" yd","8.75 m28'8"" yd",1364609
Strokes Gained - Off the Tee,-0.877,0.951,1.058,-0.620,0.512,1364609
Strokes Gained - Approach the Green,-0.043,0.916,4.509,2.095,7.477,1364609
Strokes Gained - Around the Green,0.180,-0.012,-0.076,-0.245,-0.153,1364609
Strokes Gained - Putting,0.273,1.817,-2.961,2.470,1.599,1364609
Strokes Gained - Total,-0.467,3.672,2.530,3.700,9.435,1364609
Eagles,0,0,0,0,0,1380667
Birdies,2,0,3,3,8,1380667
Pars,12,15,13,13,53,1380667
Bogeys,4,0,2,2,8,1380667
Double Bogeys,0,3,0,0,3,1380667
Fairways Hit,8,11,12,9,40,1380667
Greens in Regulation,12,8,8,12,40,1380667
Scrambling,33.33,70.00,80.00,83.33,68.75,1380667
Total Putts,"1.33 m4'4"" yd","0.92 m3'0"" yd","1.21 m4'0"" yd","1.19 m3'11"" yd","1.16 m3'10"" yd",1380667
Sand Saves,1,1,2,0,4,1380667
Driving Distance,"226.9 m248.1 yd","224.6 m245.6 yd","228.5 m249.9 yd","217.0 m237.4 yd","224.3 m245.3 yd",1380667
Approach Shot Distance to Pin,"10 m32'10"" yd","11 m37'7"" yd","12 m38'3"" yd","11 m37'2"" yd","11 m36'5"" yd",1380667
Strokes Gained - Off the Tee,-0.741,0.279,0.341,-0.043,-0.164,1380667
Strokes Gained - Approach the Green,-0.029,-3.023,-1.943,0.740,-4.255,1380667
Strokes Gained - Around the Green,-0.299,-2.652,1.583,-0.850,-2.218,1380667
Strokes Gained - Putting,-0.415,-1.936,0.541,-0.159,-1.969,1380667
Strokes Gained - Total,-1.484,-7.332,0.522,-0.312,-8.606,1380667
Eagles,0,0,0,0,0,1382305
Birdies,4,4,4,2,14,1382305
Pars,13,11,13,15,52,1382305
Bogeys,1,3,1,1,6,1382305
Double Bogeys,0,0,0,0,0,1382305
Fairways Hit,11,7,7,9,34,1382305
Greens in Regulation,15,14,14,13,56,1382305
Scrambling,100.00,50.00,75.00,80.00,75.00,1382305
Total Putts,"1.56 m5'1"" yd","1.65 m5'5"" yd","2.22 m7'3"" yd","0.72 m2'4"" yd","1.54 m5'1"" yd",1382305
Sand Saves,0,0,1,0,1,1382305
Driving Distance,"233.8 m255.7 yd","232.6 m254.4 yd","231.4 m253.1 yd","217.3 m237.6 yd","228.8 m250.2 yd",1382305
Approach Shot Distance to Pin,"8.05 m26'5"" yd","11 m35'11"" yd","10 m33'8"" yd","6.78 m22'3"" yd","9.02 m29'7"" yd",1382305
Strokes Gained - Off the Tee,1.296,-0.283,-1.351,0.768,0.430,1382305
Strokes Gained - Approach the Green,1.768,0.640,0.622,1.719,4.749,1382305
Strokes Gained - Around the Green,0.266,0.252,0.063,-0.237,0.344,1382305
Strokes Gained - Putting,0.181,-0.924,3.211,-2.551,-0.083,1382305
Strokes Gained - Total,3.511,-0.315,2.545,-0.301,5.440,1382305
Eagles,0,0,0,0,0,1383869
Birdies,2,2,3,3,10,1383869
Pars,14,13,13,12,52,1383869
Bogeys,2,3,2,3,10,1383869
Double Bogeys,0,0,0,0,0,1383869
Fairways Hit,9,6,8,11,34,1383869
Greens in Regulation,13,12,14,12,51,1383869
Scrambling,60.00,50.00,50.00,50.00,52.38,1383869
Total Putts,"0.78 m2'7"" yd","1.28 m4'2"" yd","1.44 m4'9"" yd","0.91 m3'0"" yd","1.10 m3'7"" yd",1383869
Sand Saves,1,0,1,0,2,1383869
Driving Distance,"229.3 m250.7 yd","222.5 m243.3 yd","222.9 m243.7 yd","224.0 m245.0 yd","224.7 m245.7 yd",1383869
Approach Shot Distance to Pin,"10 m33'1"" yd","13 m41'3"" yd","9.55 m31'4"" yd","10 m33'5"" yd","11 m34'9"" yd",1383869
Strokes Gained - Off the Tee,0.717,-1.503,0.150,0.994,0.358,1383869
Strokes Gained - Approach the Green,0.916,1.151,1.458,-0.456,3.069,1383869
Strokes Gained - Around the Green,-0.330,-1.490,-1.058,-0.605,-3.483,1383869
Strokes Gained - Putting,-0.789,-0.488,-0.035,-1.255,-2.567,1383869
Strokes Gained - Total,0.514,-2.330,0.515,-1.322,-2.623,1383869
Eagles,0,1,0,1,2,1390805
Birdies,5,6,2,3,16,1390805
Pars,10,10,13,11,44,1390805
Bogeys,3,1,3,3,10,1390805
Double Bogeys,0,0,0,0,0,1390805
Fairways Hit,10,8,6,8,32,1390805
Greens in Regulation,12,14,13,13,52,1390805
Scrambling,50.00,75.00,80.00,60.00,65.00,1390805
Total Putts,"1.47 m4'10"" yd","2.03 m6'8"" yd","1.16 m3'10"" yd","1.11 m3'8"" yd","1.45 m4'9"" yd",1390805
Sand Saves,0,3,1,1,5,1390805
Driving Distance,"250.0 m273.4 yd","237.5 m259.7 yd","238.2 m260.5 yd","229.5 m251.0 yd","238.8 m261.2 yd",1390805
Approach Shot Distance to Pin,"10 m33'11"" yd","11 m36'6"" yd","8.15 m26'9"" yd","15 m49'7"" yd","11 m36'9"" yd",1390805
Strokes Gained - Off the Tee,2.002,0.688,-0.550,0.513,2.653,1390805
Strokes Gained - Approach the Green,0.021,2.235,2.055,-0.842,3.469,1390805
Strokes Gained - Around the Green,0.030,0.811,1.083,1.952,3.876,1390805
Strokes Gained - Putting,0.470,1.931,-4.069,-0.937,-2.605,1390805
Strokes Gained - Total,2.523,5.665,-1.481,0.686,7.393,1390805
Eagles,0,1,0,0,1,1390806
Birdies,2,8,4,6,20,1390806
Pars,15,7,11,9,42,1390806
Bogeys,1,2,3,3,9,1390806
Double Bogeys,0,0,0,0,0,1390806
Fairways Hit,8,7,5,9,29,1390806
Greens in Regulation,13,12,14,15,54,1390806
Scrambling,80.00,66.67,50.00,66.67,66.67,1390806
Total Putts,"0.99 m3'3"" yd","1.80 m5'11"" yd","1.23 m4'0"" yd","1.76 m5'9"" yd","1.43 m4'8"" yd",1390806
Sand Saves,1,1,0,0,2,1390806
Driving Distance,"243.4 m266.2 yd","238.4 m260.7 yd","238.7 m261.0 yd","238.3 m260.6 yd","239.7 m262.1 yd",1390806
Approach Shot Distance to Pin,"8.53 m28'0"" yd","10 m34'3"" yd","9.53 m31'3"" yd","8.58 m28'2"" yd","9.27 m30'5"" yd",1390806
Strokes Gained - Off the Tee,0.458,0.934,0.080,1.375,2.847,1390806
Strokes Gained - Approach the Green,1.397,1.586,1.400,1.385,5.768,1390806
Strokes Gained - Around the Green,0.039,1.996,0.039,0.373,2.447,1390806
Strokes Gained - Putting,-0.363,2.150,-0.992,-1.438,-0.643,1390806
Strokes Gained - Total,1.531,6.666,0.527,1.695,10.419,1390806
Eagles,0,0,0,0,0,1393586
Birdies,2,6,3,2,13,1393586
Pars,14,10,9,12,45,1393586
Bogeys,2,2,6,3,13,1393586
Double Bogeys,0,0,0,1,1,1393586
Fairways Hit,7,6,7,8,28,1393586
Greens in Regulation,10,13,8,8,39,1393586
Scrambling,87.50,60.00,40.00,60.00,60.61,1393586
Total Putts,"1.42 m4'8"" yd","1.46 m4'10"" yd","1.26 m4'2"" yd","1.43 m4'8"" yd","1.40 m4'7"" yd",1393586
Sand Saves,0,3,2,0,5,1393586
Driving Distance,"230.8 m252.4 yd","231.6 m253.3 yd","230.7 m252.3 yd","229.8 m251.3 yd","230.7 m252.3 yd",1393586
Approach Shot Distance to Pin,"10 m33'11"" yd","14 m44'10"" yd","17 m54'6"" yd","13 m41'4"" yd","13 m43'8"" yd",1393586
Strokes Gained - Off the Tee,-2.144,-0.972,-0.630,0.128,-3.618,1393586
Strokes Gained - Approach the Green,0.136,1.466,-2.688,-3.612,-4.698,1393586
Strokes Gained - Around the Green,0.325,1.117,-1.418,0.037,0.061,1393586
Strokes Gained - Putting,2.210,1.071,1.279,-0.866,3.694,1393586
Strokes Gained - Total,0.527,2.682,-3.457,-4.313,-4.561,1393586
Eagles,0,0,0,0,0,1414375
Birdies,4,2,3,5,14,1414375
Pars,12,15,12,10,49,1414375
Bogeys,2,1,3,3,9,1414375
Double Bogeys,0,0,0,0,0,1414375
Fairways Hit,7,8,5,8,28,1414375
Greens in Regulation,10,15,12,12,49,1414375
Scrambling,87.50,66.67,66.67,50.00,69.57,1414375
Total Putts,"2.47 m8'1"" yd","0.95 m3'1"" yd","0.98 m3'3"" yd","1.43 m4'8"" yd","1.46 m4'9"" yd",1414375
Sand Saves,1,1,2,1,5,1414375
Driving Distance,"219.1 m239.6 yd","219.5 m240.0 yd","210.6 m230.4 yd","215.6 m235.8 yd","216.2 m236.4 yd",1414375
Approach Shot Distance to Pin,"12 m39'7"" yd","8.56 m28'1"" yd","13 m41'6"" yd","9.23 m30'3"" yd","11 m34'10"" yd",1414375
Strokes Gained - Off the Tee,-0.318,0.250,-1.723,-0.240,-2.031,1414375
Strokes Gained - Approach the Green,-1.069,0.341,-0.735,-0.041,-1.504,1414375
Strokes Gained - Around the Green,0.907,-0.479,2.297,-0.116,2.609,1414375
Strokes Gained - Putting,2.997,-0.443,-0.310,1.080,3.324,1414375
Strokes Gained - Total,2.517,-0.331,-0.471,0.683,2.398,1414375
Eagles,0,0,1,0,1,1419565
Birdies,0,2,4,3,9,1419565
Pars,13,11,10,13,47,1419565
Bogeys,4,5,2,2,13,1419565
Double Bogeys,1,0,1,0,2,1419565
Fairways Hit,8,7,5,8,28,1419565
Greens in Regulation,8,7,9,11,35,1419565
Scrambling,60.00,63.64,66.67,71.43,64.86,1419565
Total Putts,"1.08 m3'6"" yd","1.06 m3'6"" yd","1.93 m6'4"" yd","1.76 m5'9"" yd","1.45 m4'9"" yd",1419565
Sand Saves,0,1,0,0,1,1419565
Driving Distance,"221.5 m242.3 yd","227.4 m248.7 yd","226.0 m247.1 yd","223.8 m244.7 yd","224.7 m245.7 yd",1419565
Approach Shot Distance to Pin,"13 m42'5"" yd","17 m55'6"" yd","11 m37'7"" yd","11 m36'4"" yd","13 m43'0"" yd",1419565
Strokes Gained - Off the Tee,-0.320,0.058,-0.986,0.395,-0.853,1419565
Strokes Gained - Approach the Green,-2.816,-3.832,0.223,-1.985,-8.410,1419565
Strokes Gained - Around the Green,-1.040,0.144,0.658,0.571,0.333,1419565
Strokes Gained - Putting,-1.300,-0.702,1.625,0.712,0.335,1419565
Strokes Gained - Total,-5.476,-4.332,1.520,-0.307,-8.595,1419565
Eagles,0,0,0,0,0,1429164
Birdies,3,4,3,3,13,1429164
Pars,11,12,15,13,51,1429164
Bogeys,4,2,0,2,8,1429164
Double Bogeys,0,0,0,0,0,1429164
Fairways Hit,8,9,7,6,30,1429164
Greens in Regulation,10,14,15,14,53,1429164
Scrambling,50.00,75.00,100.00,50.00,63.16,1429164
Total Putts,"1.15 m3'9"" yd","1.43 m4'8"" yd","1.16 m3'10"" yd","1.21 m4'0"" yd","1.24 m4'1"" yd",1429164
Sand Saves,1,0,2,1,4,1429164
Driving Distance,"225.4 m246.5 yd","227.3 m248.6 yd","224.7 m245.7 yd","218.3 m238.8 yd","223.9 m244.9 yd",1429164
Approach Shot Distance to Pin,"7.58 m24'10"" yd","13 m43'6"" yd","11 m34'10"" yd","11 m34'9"" yd","11 m34'6"" yd",1429164
Strokes Gained - Off the Tee,-0.807,0.036,-0.890,-0.297,-1.958,1429164
Strokes Gained - Approach the Green,0.983,1.098,1.571,0.901,4.553,1429164
Strokes Gained - Around the Green,-0.609,0.374,0.270,0.015,0.050,1429164
Strokes Gained - Putting,-0.034,-0.841,1.573,-0.922,-0.224,1429164
