Stats,Round1,Round2,Round3,Round4,Total,player_id
Strokes Gained - Total,-0.467,0.667,2.524,-0.303,2.421,1429164
Eagles,0,0,0,0,0,1429174
Birdies,5,4,3,1,13,1429174
Pars,13,13,12,15,53,1429174
Bogeys,0,1,3,2,6,1429174
Double Bogeys,0,0,0,0,0,1429174
Fairways Hit,8,5,7,11,31,1429174
Greens in Regulation,10,13,14,11,48,1429174
Scrambling,100.00,80.00,75.00,71.43,83.33,1429174
Total Putts,"1.56 m5'1"" yd","1.30 m4'3"" yd","1.47 m4'10"" yd","1.07 m3'6"" yd","1.35 m4'5"" yd",1429174
Sand Saves,1,2,1,0,4,1429174
Driving Distance,"243.1 m265.9 yd","240.7 m263.2 yd","237.1 m259.3 yd","239.2 m261.6 yd","240.0 m262.5 yd",1429174
Approach Shot Distance to Pin,"13 m41'4"" yd","10 m33'5"" yd","8.95 m29'4"" yd","9.72 m31'11"" yd","10 m34'0"" yd",1429174
Strokes Gained - Off the Tee,0.889,-1.145,0.093,2.080,1.917,1429174
Strokes Gained - Approach the Green,0.933,0.369,0.950,-0.403,1.849,1429174
Strokes Gained - Around the Green,0.754,0.291,-0.096,-0.833,0.116,1429174
Strokes Gained - Putting,2.959,2.166,-1.425,-3.170,0.530,1429174
Strokes Gained - Total,5.535,1.681,-0.478,-2.326,4.412,1429174
Eagles,0,0,0,0,0,1429304
Birdies,4,3,1,6,14,1429304
Pars,11,12,14,10,47,1429304
Bogeys,2,3,3,2,10,1429304
Double Bogeys,1,0,0,0,1,1429304
Fairways Hit,6,8,9,7,30,1429304
Greens in Regulation,10,12,13,13,48,1429304
Scrambling,62.50,66.67,40.00,60.00,58.33,1429304
Total Putts,"1.52 m5'0"" yd","0.65 m2'2"" yd","0.87 m2'10"" yd","1.34 m4'5"" yd","1.09 m3'7"" yd",1429304
Sand Saves,0,1,0,0,1,1429304
Driving Distance,"238.3 m260.6 yd","239.9 m262.4 yd","238.3 m260.6 yd","242.2 m264.9 yd","239.7 m262.1 yd",1429304
Approach Shot Distance to Pin,"9.60 m31'6"" yd","12 m38'1"" yd","9.06 m29'9"" yd","9.58 m31'5"" yd","9.96 m32'8"" yd",1429304
Strokes Gained - Off the Tee,-0.182,0.243,-0.377,1.205,0.889,1429304
Strokes Gained - Approach the Green,-1.710,0.501,0.011,0.841,-0.357,1429304
Strokes Gained - Around the Green,-0.065,1.170,-0.505,0.561,1.161,1429304
Strokes Gained - Putting,2.480,-3.236,-1.603,0.085,-2.274,1429304
Strokes Gained - Total,0.523,-1.322,-2.474,2.692,-0.581,1429304
Eagles,0,1,1,0,2,1444022
Birdies,2,2,4,1,9,1444022
Pars,13,9,13,14,49,1444022
Bogeys,3,6,0,3,12,1444022
Double Bogeys,0,0,0,0,0,1444022
Fairways Hit,9,7,7,8,31,1444022
Greens in Regulation,11,12,14,10,47,1444022
Scrambling,85.71,0.00,100.00,62.50,60.00,1444022
Total Putts,"0.77 m2'6"" yd","1.34 m4'5"" yd","1.58 m5'2"" yd","0.98 m3'2"" yd","1.17 m3'10"" yd",1444022
Sand Saves,1,0,0,0,1,1444022
Driving Distance,"235.5 m257.5 yd","236.3 m258.4 yd","240.8 m263.3 yd","230.5 m252.1 yd","235.8 m257.8 yd",1444022
Approach Shot Distance to Pin,"9.52 m31'3"" yd","12 m39'1"" yd","11 m35'5"" yd","12 m38'3"" yd","11 m35'11"" yd",1444022
Strokes Gained - Off the Tee,0.018,0.436,1.902,-0.084,2.272,1444022
Strokes Gained - Approach the Green,0.599,-2.632,1.662,0.181,-0.190,1444022
Strokes Gained - Around the Green,0.701,-0.960,-0.220,-0.778,-1.257,1444022
Strokes Gained - Putting,-1.809,-0.174,2.200,-2.630,-2.413,1444022
Strokes Gained - Total,-0.491,-3.330,5.544,-3.311,-1.588,1444022
Eagles,0,1,0,0,1,1447696
Birdies,3,5,5,9,22,1447696
Pars,13,11,11,6,41,1447696
Bogeys,2,1,2,3,8,1447696
Double Bogeys,0,0,0,0,0,1447696
Fairways Hit,12,12,11,13,48,1447696
Greens in Regulation,14,15,14,12,55,1447696
Scrambling,75.00,66.67,50.00,83.33,70.59,1447696
Total Putts,"0.92 m3'0"" yd","1.31 m4'3"" yd","1.84 m6'1"" yd","1.68 m5'6"" yd","1.44 m4'9"" yd",1447696
Sand Saves,0,0,0,0,0,1447696
Driving Distance,"227.6 m248.9 yd","231.7 m253.4 yd","229.0 m250.4 yd","217.8 m238.1 yd","226.5 m247.7 yd",1447696
Approach Shot Distance to Pin,"7.70 m25'3"" yd","8.80 m28'11"" yd","9.67 m31'9"" yd","8.36 m27'5"" yd","8.63 m28'4"" yd",1447696
Strokes Gained - Off the Tee,1.073,1.261,1.380,1.085,4.799,1447696
Strokes Gained - Approach the Green,0.875,0.953,-0.364,1.725,3.189,1447696
Strokes Gained - Around the Green,0.953,2.090,-0.089,0.410,3.364,1447696
Strokes Gained - Putting,-1.385,0.377,1.597,1.479,2.068,1447696
Strokes Gained - Total,1.516,4.681,2.524,4.699,13.420,1447696
Eagles,0,0,0,0,0,1452607
Birdies,3,1,5,1,10,1452607
Pars,11,16,10,14,51,1452607
Bogeys,2,1,3,2,8,1452607
Double Bogeys,2,0,0,0,2,1452607
Fairways Hit,6,9,8,9,32,1452607
Greens in Regulation,11,10,14,9,44,1452607
Scrambling,57.14,87.50,25.00,66.67,64.29,1452607
Total Putts,"1.30 m4'3"" yd","0.97 m3'2"" yd","1.85 m6'1"" yd","0.78 m2'7"" yd","1.22 m4'0"" yd",1452607
Sand Saves,1,0,0,1,2,1452607
Driving Distance,"223.4 m244.3 yd","227.3 m248.6 yd","229.8 m251.3 yd","221.0 m241.7 yd","225.4 m246.5 yd",1452607
Approach Shot Distance to Pin,"11 m35'2"" yd","10 m33'0"" yd","9.43 m30'11"" yd","14 m46'11"" yd","11 m36'6"" yd",1452607
Strokes Gained - Off the Tee,-1.158,0.449,0.461,-0.400,-0.648,1452607
Strokes Gained - Approach the Green,0.824,-1.487,-0.044,-3.925,-4.632,1452607
Strokes Gained - Around the Green,-1.028,1.022,-0.236,0.849,0.607,1452607
Strokes Gained - Putting,-1.127,-1.322,1.346,-1.852,-2.955,1452607
Strokes Gained - Total,-2.489,-1.338,1.527,-5.328,-7.628,1452607
Eagles,0,0,0,1,1,1452618
Birdies,1,5,4,4,14,1452618
Pars,13,11,10,11,45,1452618
Bogeys,4,2,4,2,12,1452618
Double Bogeys,0,0,0,0,0,1452618
Fairways Hit,7,7,8,9,31,1452618
Greens in Regulation,15,12,13,12,52,1452618
Scrambling,33.33,66.67,40.00,66.67,55.00,1452618
Total Putts,"0.84 m2'9"" yd","1.11 m3'8"" yd","1.32 m4'4"" yd","1.83 m6'0"" yd","1.27 m4'2"" yd",1452618
Sand Saves,0,0,1,3,4,1452618
Driving Distance,"236.2 m258.3 yd","229.6 m251.1 yd","228.3 m249.7 yd","226.9 m248.1 yd","230.3 m251.8 yd",1452618
Approach Shot Distance to Pin,"7.70 m25'3"" yd","9.53 m31'3"" yd","11 m35'8"" yd","12 m38'3"" yd","9.94 m32'7"" yd",1452618
Strokes Gained - Off the Tee,-0.374,-0.803,-0.396,0.800,-0.773,1452618
Strokes Gained - Approach the Green,2.359,1.443,-1.191,-0.392,2.219,1452618
Strokes Gained - Around the Green,0.800,1.006,0.830,0.302,2.938,1452618
Strokes Gained - Putting,-5.276,0.028,0.281,1.962,-3.005,1452618
Strokes Gained - Total,-2.491,1.674,-0.476,2.672,1.379,1452618
Eagles,0,0,0,0,0,1459960
Birdies,3,7,5,9,24,1459960
Pars,14,8,13,6,41,1459960
Bogeys,0,3,0,3,6,1459960
Double Bogeys,1,0,0,0,1,1459960
Fairways Hit,6,9,8,12,35,1459960
Greens in Regulation,12,14,16,14,56,1459960
Scrambling,83.33,100.00,100.00,25.00,75.00,1459960
Total Putts,"1.46 m4'9"" yd","1.65 m5'5"" yd","1.06 m3'6"" yd","1.55 m5'1"" yd","1.43 m4'8"" yd",1459960
Sand Saves,3,1,1,0,5,1459960
Driving Distance,"230.2 m251.7 yd","235.7 m257.7 yd","230.4 m251.9 yd","230.4 m251.9 yd","231.6 m253.3 yd",1459960
Approach Shot Distance to Pin,"10 m34'3"" yd","10 m34'3"" yd","7.97 m26'2"" yd","8.51 m27'11"" yd","9.34 m30'8"" yd",1459960
Strokes Gained - Off the Tee,-0.564,0.847,0.391,1.901,2.575,1459960
Strokes Gained - Approach the Green,0.686,0.879,4.073,1.481,7.119,1459960
Strokes Gained - Around the Green,-0.171,1.269,0.458,0.723,2.279,1459960
Strokes Gained - Putting,1.584,-0.335,-0.383,0.581,1.447,1459960
Strokes Gained - Total,1.535,2.660,4.539,4.686,13.420,1459960
Eagles,0,0,0,0,0,1462881
Birdies,1,3,5,2,11,1462881
Pars,13,8,10,9,40,1462881
Bogeys,4,4,3,6,17,1462881
Double Bogeys,0,3,0,1,4,1462881
Fairways Hit,7,4,7,4,22,1462881
Greens in Regulation,10,10,11,9,40,1462881
Scrambling,50.00,25.00,57.14,33.33,40.62,1462881
Total Putts,"1.39 m4'7"" yd","1.10 m3'7"" yd","1.05 m3'6"" yd","1.65 m5'5"" yd","1.30 m4'3"" yd",1462881
Sand Saves,0,0,0,0,0,1462881
Driving Distance,"238.6 m260.9 yd","246.4 m269.5 yd","235.2 m257.2 yd","228.3 m249.7 yd","237.1 m259.3 yd",1462881
Approach Shot Distance to Pin,"9.49 m31'2"" yd","11 m34'10"" yd","9.49 m31'2"" yd","13 m43'11"" yd","11 m35'3"" yd",1462881
Strokes Gained - Off the Tee,0.037,-1.607,0.433,-1.640,-2.777,1462881
Strokes Gained - Approach the Green,-1.907,-1.814,1.851,-1.457,-3.327,1462881
Strokes Gained - Around the Green,-1.047,-2.879,-1.470,-1.950,-7.346,1462881
Strokes Gained - Putting,0.428,-2.018,0.730,-2.282,-3.142,1462881
Strokes Gained - Total,-2.489,-8.318,1.544,-7.329,-16.592,1462881
Eagles,0,0,0,0,0,1465366
Birdies,3,4,3,8,18,1465366
Pars,11,9,11,9,40,1465366
Bogeys,3,4,4,1,12,1465366
Double Bogeys,1,1,0,0,2,1465366
Fairways Hit,5,10,3,7,25,1465366
Greens in Regulation,7,9,11,13,40,1465366
Scrambling,63.64,66.67,57.14,80.00,65.62,1465366
Total Putts,"0.87 m2'10"" yd","1.21 m4'0"" yd","1.54 m5'1"" yd","1.64 m5'5"" yd","1.32 m4'4"" yd",1465366
Sand Saves,1,0,0,1,2,1465366
Driving Distance,"221.8 m242.6 yd","226.2 m247.4 yd","220.6 m241.2 yd","224.4 m245.4 yd","223.2 m244.1 yd",1465366
Approach Shot Distance to Pin,"11 m35'9"" yd","11 m35'9"" yd","13 m42'7"" yd","7.49 m24'7"" yd","11 m34'8"" yd",1465366
Strokes Gained - Off the Tee,-1.610,0.638,-2.616,0.151,-3.437,1465366
Strokes Gained - Approach the Green,-2.212,-1.238,-0.443,1.881,-2.012,1465366
Strokes Gained - Around the Green,2.116,-0.223,-0.097,0.829,2.625,1465366
Strokes Gained - Putting,0.217,-2.511,1.694,2.840,2.240,1465366
Strokes Gained - Total,-1.489,-3.334,-1.462,5.701,-0.584,1465366
Eagles,0,1,0,0,1,1466032
Birdies,4,2,3,1,10,1466032
Pars,7,12,10,14,43,1466032
Bogeys,7,3,4,3,17,1466032
Double Bogeys,0,0,1,0,1,1466032
Fairways Hit,8,7,9,8,32,1466032
Greens in Regulation,9,11,9,6,35,1466032
Scrambling,33.33,57.14,44.44,75.00,54.05,1466032
Total Putts,"2.34 m7'8"" yd","1.68 m5'6"" yd","1.82 m5'11"" yd","1.29 m4'3"" yd","1.78 m5'10"" yd",1466032
Sand Saves,0,0,1,0,1,1466032
Driving Distance,"216.1 m236.3 yd","220.0 m240.6 yd","219.6 m240.1 yd","218.5 m239.0 yd","218.5 m239.0 yd",1466032
Approach Shot Distance to Pin,"10 m33'7"" yd","13 m42'6"" yd","11 m35'5"" yd","12 m40'4"" yd","12 m37'11"" yd",1466032
Strokes Gained - Off the Tee,-1.896,-1.692,-0.337,-0.702,-4.627,1466032
Strokes Gained - Approach the Green,-0.631,2.129,-2.625,-3.389,-4.516,1466032
Strokes Gained - Around the Green,-1.086,-1.861,-1.517,-1.168,-5.632,1466032
Strokes Gained - Putting,1.143,1.105,1.013,1.960,5.221,1466032
Strokes Gained - Total,-2.470,-0.319,-3.466,-3.299,-9.554,1466032
Eagles,0,0,0,0,0,1466405
Birdies,3,3,5,7,18,1466405
Pars,12,14,12,6,44,1466405
Bogeys,3,1,1,5,10,1466405
Double Bogeys,0,0,0,0,0,1466405
Fairways Hit,7,8,8,5,28,1466405
Greens in Regulation,11,12,17,12,52,1466405
Scrambling,57.14,100.00,0.00,50.00,65.00,1466405
Total Putts,"1.15 m3'9"" yd","0.92 m3'0"" yd","1.66 m5'5"" yd","1.59 m5'3"" yd","1.34 m4'5"" yd",1466405
Sand Saves,0,1,1,0,2,1466405
Driving Distance,"237.9 m260.2 yd","237.4 m259.6 yd","231.0 m252.6 yd","215.7 m235.9 yd","230.5 m252.1 yd",1466405
Approach Shot Distance to Pin,"9.89 m32'5"" yd","10 m33'0"" yd","8.00 m26'3"" yd","11 m35'10"" yd","9.71 m31'10"" yd",1466405
Strokes Gained - Off the Tee,-0.228,0.083,0.543,-2.695,-2.297,1466405
Strokes Gained - Approach the Green,0.119,-0.347,0.852,1.252,1.876,1466405
Strokes Gained - Around the Green,0.106,1.535,0.196,1.598,3.435,1466405
Strokes Gained - Putting,0.536,-0.598,1.926,0.524,2.388,1466405
Strokes Gained - Total,0.533,0.673,3.517,0.679,5.402,1466405
Eagles,0,1,0,0,1,1468121
Birdies,2,3,3,6,14,1468121
Pars,14,9,14,9,46,1468121
Bogeys,2,5,1,3,11,1468121
Double Bogeys,0,0,0,0,0,1468121
Fairways Hit,8,8,6,8,30,1468121
Greens in Regulation,10,11,17,12,50,1468121
Scrambling,75.00,42.86,100.00,50.00,59.09,1468121
Total Putts,"0.95 m3'1"" yd","1.67 m5'6"" yd","0.96 m3'2"" yd","1.48 m4'10"" yd","1.26 m4'2"" yd",1468121
Sand Saves,2,1,0,0,3,1468121
Driving Distance,"241.7 m264.4 yd","239.1 m261.4 yd","241.8 m264.4 yd","235.9 m257.9 yd","239.6 m262.0 yd",1468121
Approach Shot Distance to Pin,"11 m34'10"" yd","9.48 m31'1"" yd","11 m35'3"" yd","8.45 m27'9"" yd","9.82 m32'3"" yd",1468121
Strokes Gained - Off the Tee,1.143,0.347,0.243,0.933,2.666,1468121
Strokes Gained - Approach the Green,-1.506,-0.484,2.048,0.549,0.607,1468121
Strokes Gained - Around the Green,1.509,-0.853,0.262,0.751,1.669,1468121
Strokes Gained - Putting,-0.616,-0.343,-1.011,-0.552,-2.522,1468121
Strokes Gained - Total,0.530,-1.333,1.542,1.681,2.420,1468121
Eagles,0,0,0,0,0,1468275
Birdies,0,6,4,4,14,1468275
Pars,12,10,12,11,45,1468275
Bogeys,6,2,2,1,11,1468275
Double Bogeys,0,0,0,2,2,1468275
Fairways Hit,6,7,7,8,28,1468275
Greens in Regulation,7,13,12,11,43,1468275
Scrambling,54.55,60.00,66.67,57.14,58.62,1468275
Total Putts,"0.88 m2'11"" yd","2.06 m6'9"" yd","1.48 m4'10"" yd","1.13 m3'8"" yd","1.39 m4'7"" yd",1468275
Sand Saves,1,1,1,4,7,1468275
Driving Distance,"217.7 m238.1 yd","221.2 m241.9 yd","219.5 m240.0 yd","221.0 m241.6 yd","219.8 m240.4 yd",1468275
Approach Shot Distance to Pin,"12 m40'5"" yd","12 m38'0"" yd","8.62 m28'4"" yd","11 m34'10"" yd","11 m35'5"" yd",1468275
Strokes Gained - Off the Tee,-1.458,-0.405,-0.734,-0.193,-2.790,1468275
Strokes Gained - Approach the Green,-2.348,-0.335,1.132,-0.015,-1.566,1468275
Strokes Gained - Around the Green,-0.833,-0.101,-0.760,-1.250,-2.944,1468275
Strokes Gained - Putting,-0.848,3.505,1.903,-0.857,3.703,1468275
Strokes Gained - Total,-5.487,2.664,1.541,-2.315,-3.597,1468275
Eagles,0,0,0,0,0,1469355
Birdies,2,2,3,7,14,1469355
Pars,12,10,8,7,37,1469355
Bogeys,4,6,6,4,20,1469355
Double Bogeys,0,0,1,0,1,1469355
Fairways Hit,8,5,6,4,23,1469355
Greens in Regulation,11,10,12,11,44,1469355
Scrambling,71.43,50.00,16.67,42.86,46.43,1469355
Total Putts,"1.04 m3'5"" yd","0.90 m2'11"" yd","0.52 m1'9"" yd","1.81 m5'11"" yd","1.07 m3'6"" yd",1469355
Sand Saves,1,0,0,0,1,1469355
Driving Distance,"236.4 m258.6 yd","238.8 m261.1 yd","235.3 m257.4 yd","233.7 m255.6 yd","236.1 m258.2 yd",1469355
Approach Shot Distance to Pin,"12 m38'0"" yd","11 m36'1"" yd","10 m34'1"" yd","12 m38'6"" yd","11 m36'8"" yd",1469355
Strokes Gained - Off the Tee,0.631,-0.281,0.760,-0.113,0.997,1469355
Strokes Gained - Approach the Green,-0.325,-0.653,-0.961,0.920,-1.019,1469355
Strokes Gained - Around the Green,-0.317,-1.367,-0.042,-0.990,-2.716,1469355
Strokes Gained - Putting,-1.476,-3.011,-5.216,1.870,-7.833,1469355
Strokes Gained - Total,-1.487,-5.312,-5.459,1.687,-10.571,1469355
Eagles,0,0,1,0,1,1469359
Birdies,1,6,3,2,12,1469359
Pars,13,9,10,13,45,1469359
Bogeys,4,3,4,3,14,1469359
Double Bogeys,0,0,0,0,0,1469359
Fairways Hit,10,10,9,7,36,1469359
Greens in Regulation,14,12,13,16,55,1469359
Scrambling,25.00,50.00,40.00,0.00,35.29,1469359
Total Putts,"0.66 m2'2"" yd","1.61 m5'3"" yd","1.31 m4'4"" yd","0.64 m2'1"" yd","1.05 m3'5"" yd",1469359
Sand Saves,0,1,0,0,1,1469359
Driving Distance,"228.2 m249.6 yd","228.9 m250.4 yd","231.4 m253.1 yd","225.7 m246.8 yd","228.6 m249.9 yd",1469359
Approach Shot Distance to Pin,"7.86 m25'9"" yd","10 m34'0"" yd","11 m35'2"" yd","8.80 m28'10"" yd","9.44 m30'11"" yd",1469359
Strokes Gained - Off the Tee,0.549,0.868,0.696,0.570,2.683,1469359
Strokes Gained - Approach the Green,1.004,-0.381,-0.720,1.347,1.250,1469359
Strokes Gained - Around the Green,-0.024,0.133,-0.466,0.740,0.383,1469359
Strokes Gained - Putting,-3.993,1.065,1.017,-4.969,-6.880,1469359
Strokes Gained - Total,-2.464,1.685,0.527,-2.312,-2.564,1469359
Eagles,0,0,0,1,1,1481184
Birdies,2,5,5,5,17,1481184
Pars,11,11,12,11,45,1481184
Bogeys,5,2,1,1,9,1481184
Double Bogeys,0,0,0,0,0,1481184
Fairways Hit,11,11,9,11,42,1481184
Greens in Regulation,11,12,14,12,49,1481184
Scrambling,28.57,66.67,75.00,83.33,60.87,1481184
Total Putts,"0.77 m2'6"" yd","1.27 m4'2"" yd","1.48 m4'10"" yd","1.93 m6'4"" yd","1.36 m4'6"" yd",1481184
Sand Saves,0,0,2,0,2,1481184
Driving Distance,"240.1 m262.6 yd","237.4 m259.6 yd","240.7 m263.2 yd","233.7 m255.6 yd","238.0 m260.3 yd",1481184
Approach Shot Distance to Pin,"14 m46'7"" yd","7.96 m26'1"" yd","8.85 m29'0"" yd","9.38 m30'9"" yd","10 m33'2"" yd",1481184
Strokes Gained - Off the Tee,1.493,2.297,0.608,2.594,6.992,1481184
Strokes Gained - Approach the Green,-1.238,-0.119,0.363,-0.271,-1.265,1481184
Strokes Gained - Around the Green,0.025,0.134,1.085,0.316,1.560,1481184
Strokes Gained - Putting,-2.745,-0.643,1.474,2.049,0.135,1481184
Strokes Gained - Total,-2.465,1.669,3.530,4.688,7.422,1481184
Eagles,0,0,0,0,0,1481212
Birdies,5,4,5,1,15,1481212
Pars,10,10,10,14,44,1481212
Bogeys,3,4,1,2,10,1481212
Double Bogeys,0,0,2,1,3,1481212
Fairways Hit,9,7,9,8,33,1481212
Greens in Regulation,15,11,12,11,49,1481212
Scrambling,33.33,42.86,50.00,57.14,47.83,1481212
Total Putts,"1.18 m3'10"" yd","0.72 m2'4"" yd","1.14 m3'9"" yd","1.10 m3'7"" yd","1.03 m3'5"" yd",1481212
Sand Saves,2,0,1,1,4,1481212
Driving Distance,"239.2 m261.6 yd","240.1 m262.6 yd","241.3 m263.9 yd","240.5 m263.0 yd","240.3 m262.8 yd",1481212
Approach Shot Distance to Pin,"12 m39'1"" yd","13 m42'1"" yd","10 m33'8"" yd","9.63 m31'7"" yd","11 m36'8"" yd",1481212
Strokes Gained - Off the Tee,1.069,0.799,1.035,0.122,3.025,1481212
Strokes Gained - Approach the Green,1.185,0.226,0.178,-1.782,-0.193,1481212
Strokes Gained - Around the Green,-0.603,-1.079,-1.183,-1.008,-3.873,1481212
Strokes Gained - Putting,0.864,-1.268,-0.490,-1.640,-2.534,1481212
Strokes Gained - Total,2.515,-1.322,-0.460,-4.308,-3.575,1481212
Eagles,0,0,0,1,1,1483660
Birdies,3,8,5,4,20,1483660
Pars,13,8,12,10,43,1483660
Bogeys,1,2,1,3,7,1483660
Double Bogeys,1,0,0,0,1,1483660
Fairways Hit,6,8,6,6,26,1483660
Greens in Regulation,8,13,13,10,44,1483660
Scrambling,80.00,60.00,100.00,75.00,78.57,1483660
Total Putts,"1.06 m3'6"" yd","1.95 m6'5"" yd","1.70 m5'7"" yd","2.08 m6'10"" yd","1.69 m5'7"" yd",1483660
Sand Saves,1,1,0,0,2,1483660
Driving Distance,"235.8 m257.9 yd","227.2 m248.5 yd","227.4 m248.7 yd","222.1 m242.9 yd","228.1 m249.5 yd",1483660
Approach Shot Distance to Pin,"8.62 m28'3"" yd","11 m35'8"" yd","11 m37'6"" yd","11 m34'6"" yd","10 m33'11"" yd",1483660
Strokes Gained - Off the Tee,-1.171,-0.798,-0.290,-0.931,-3.190,1483660
Strokes Gained - Approach the Green,1.329,2.108,0.203,0.825,4.465,1483660
Strokes Gained - Around the Green,1.718,-0.007,0.705,-0.814,1.602,1483660
Strokes Gained - Putting,-1.356,3.366,2.929,2.621,7.560,1483660
Strokes Gained - Total,0.520,4.669,3.547,1.701,10.437,1483660
Eagles,0,0,0,1,1,1483664
Birdies,5,5,3,5,18,1483664
Pars,8,11,10,8,37,1483664
Bogeys,5,2,5,4,16,1483664
Double Bogeys,0,0,0,0,0,1483664
Fairways Hit,8,10,5,6,29,1483664
Greens in Regulation,9,15,11,13,48,1483664
Scrambling,55.56,33.33,42.86,60.00,50.00,1483664
Total Putts,"1.32 m4'4"" yd","1.00 m3'3"" yd","0.97 m3'2"" yd","1.20 m3'11"" yd","1.12 m3'8"" yd",1483664
Sand Saves,1,1,0,2,4,1483664
Driving Distance,"225.7 m246.8 yd","231.7 m253.4 yd","226.8 m248.1 yd","223.3 m244.2 yd","226.9 m248.1 yd",1483664
Approach Shot Distance to Pin,"11 m37'8"" yd","8.84 m29'0"" yd","14 m44'7"" yd","12 m38'6"" yd","11 m37'5"" yd",1483664
Strokes Gained - Off the Tee,-1.187,1.003,-1.479,-0.264,-1.927,1483664
Strokes Gained - Approach the Green,1.313,1.671,-1.515,1.516,2.985,1483664
Strokes Gained - Around the Green,-1.341,-0.103,0.384,1.539,0.479,1483664
Strokes Gained - Putting,1.728,-0.901,0.143,-1.110,-0.140,1483664
Strokes Gained - Total,0.513,1.670,-2.467,1.681,1.397,1483664
Eagles,0,0,0,0,0,1866829
Birdies,4,4,1,2,11,1866829
Pars,12,12,15,13,52,1866829
Bogeys,2,2,2,3,9,1866829
Double Bogeys,0,0,0,0,0,1866829
Fairways Hit,12,6,10,9,37,1866829
Greens in Regulation,12,14,11,9,46,1866829
Scrambling,66.67,75.00,71.43,66.67,69.23,1866829
Total Putts,"0.95 m3'1"" yd","1.49 m4'11"" yd","1.34 m4'5"" yd","1.26 m4'1"" yd","1.25 m4'1"" yd",1866829
Sand Saves,0,1,1,1,3,1866829
Driving Distance,"232.8 m254.6 yd","224.6 m245.6 yd","229.1 m250.6 yd","226.3 m247.4 yd","228.2 m249.6 yd",1866829
Approach Shot Distance to Pin,"7.98 m26'2"" yd","9.21 m30'3"" yd","15 m48'0"" yd","11 m35'4"" yd","11 m34'11"" yd",1866829
Strokes Gained - Off the Tee,1.204,-1.076,0.591,1.486,2.205,1866829
Strokes Gained - Approach the Green,0.328,0.903,-2.738,-2.013,-3.520,1866829
Strokes Gained - Around the Green,0.725,0.907,-0.251,-0.641,0.740,1866829
Strokes Gained - Putting,0.272,-0.064,0.927,-1.159,-0.024,1866829
Strokes Gained - Total,2.529,0.670,-1.471,-2.327,-0.599,1866829
